Id,target
0,116.21958147567163
1,118.24898122021736
2,-21.31589596851102
3,-43.2882955088375
4,-96.83521446866942
5,-45.025165463938045
6,-76.31926334576227
7,24.657595533596922
8,174.17052592598833
9,173.38806872144232
10,-105.68339306950516
11,-21.22474986646346
12,-4.281102564673255
13,123.27325046344009
14,39.496753837249166
15,45.040655068795445
16,-191.04744203105224
17,22.94108085496203
18,12.077738633116928
19,136.14116734200297
20,64.72689916472703
21,-63.04286746344853
22,-109.04354529659378
23,-8.021680135483933
24,-59.613292693886564
25,11.999285127143576
26,28.540642798391247
27,107.80999402881022
28,23.722183210290392
29,-26.22084098269681
30,110.14218249020392
31,-45.99516953634863
32,217.1007606979772
33,-14.435443956753005
34,-230.40043265164263
35,154.88949762100117
36,-2.830423087712849
37,13.565211517782611
38,-310.42329857538067
39,76.49382011848456
40,-82.36846146461146
41,-207.86676607269123
42,-240.24066235195
43,134.5197543981327
44,-76.29545537916033
45,105.28383578287193
46,-4.999159020915407
47,20.04037673000554
48,-98.82117454278182
49,-28.448861576584598
50,11.271184828708229
51,-176.86355891556713
52,64.64936852269335
53,-98.86281952051077
54,-107.43002287866292
55,-155.9248509420159
56,61.99322292824484
57,109.46936619224347
58,-74.35729871219792
59,42.15237810982342
60,40.783635708397036
61,-51.93432460399106
62,165.33478415821963
63,43.79906840067798
64,57.13854240120607
65,23.191787041936724
66,81.8988117078036
67,-2.368610946922063
68,-3.3328632380101917
69,1.2581876780958
70,-24.362814318683956
71,162.24777364015404
72,-41.05756323682944
73,21.758742440604685
74,-67.14509303879724
75,-70.28479940545692
76,37.091228382528016
77,-162.03690413926017
78,-1.6141098640325078
79,151.4288754089622
80,-38.35367940424769
81,-120.72031404772166
82,-194.46675273949808
83,36.761487123196524
84,146.78149206953185
85,272.4451923970966
86,-258.0864059995447
87,-89.84924568798493
88,76.80088183126013
89,-90.28686484440767
90,-50.277617176584364
91,124.95856467234123
92,-164.85118292997328
93,-117.39954465680836
94,49.83731286520117
95,97.33477363241376
96,-216.6103188696173
97,-122.21174548815108
98,-173.49479510468905
99,-51.24377878517843
100,127.64868281057778
101,-84.49176834128734
102,-2.675180101963532
103,-1.4825456452783623
104,-0.7265125140066324
105,80.59143640129794
106,44.00557790815262
107,93.29487507065664
108,-30.35015545501365
109,-85.46992759273255
110,38.17172763644114
111,18.18254213586543
112,117.44095769243158
113,6.75955901702829
114,73.68924842330331
115,32.44707321784367
116,-142.76160797478173
117,7.263433352199495
118,20.882050478678178
119,-22.962652959404696
120,-21.327392642343234
121,-256.9869280714589
122,267.46714381196705
123,155.25214224407097
124,13.411559850758813
125,84.52468572556984
126,-12.76735318161171
127,-153.79395571817912
128,113.36571907972329
129,-32.354798111584884
130,-216.69627596498117
131,120.67448655562119
132,-30.52378710949378
133,-86.46127599716931
134,170.7501288014438
135,39.00818961917204
136,-19.087503801886275
137,61.23718151691927
138,44.72648833871996
139,-176.31190380004176
140,129.73993253698046
141,-74.19619367614607
142,213.65001911860782
143,136.22689270502417
144,-1.3361404402574477
145,-154.3554737671737
146,-16.369962337114924
147,134.35272200023826
148,36.268348418645004
149,57.17735227278842
150,-4.37057007933573
151,-44.030565265331255
152,18.427619664935236
153,-70.18059981639757
